scheme,x_value,mean,std
Ours,100,45.588376,10.685049
Ours,500,143.657501,82.535128
Ours,1000,174.358134,65.423971
Ours,2000,317.990077,96.541616
Ours,5000,3098.256137,741.382751
Ours,10000,8938.832098,1001.507136
Ref[3],100,42.709574,10.153168
Ref[3],500,490.083793,282.106120
Ref[3],1000,3104.645093,735.147262
Ref[3],2000,8237.097738,1901.532585
Ref[3],5000,23720.204925,5174.489081
Ref[3],10000,49485.078003,10411.747317
Ref[6],100,34.183466,7.232096
Ref[6],500,1181.752031,767.698207
Ref[6],1000,4553.489160,1674.694903
Ref[6],2000,11176.049390,3267.128349
Ref[6],5000,29328.067844,6948.655015
Ref[6],10000,55265.252529,12271.638370
Ref[20],100,48.685648,11.874984
Ref[20],500,590.326925,310.305561
Ref[20],1000,3471.941673,523.722147
Ref[20],2000,4651.460226,565.563125
Ref[20],5000,6302.742941,977.747554
Ref[20],10000,9314.694930,1069.796003
