scheme,x_value,mean,std
Ours,4,1.000000,0.000000
Ours,6,1.000000,0.000000
Ours,8,1.000000,0.000000
Ours,10,1.000000,0.000000
Ours,12,1.000000,0.000000
Ours,14,1.000000,0.000000
Ours,16,1.000000,0.000000
Ref[3],4,11.956807,1.405426
Ref[3],6,21.513370,1.721715
Ref[3],8,32.085386,1.444402
Ref[3],10,41.658098,2.126351
Ref[3],12,52.514960,1.702220
Ref[3],14,62.785751,1.477844
Ref[3],16,72.397528,1.536144
Ref[6],4,17.389889,1.291146
Ref[6],6,26.944275,1.345145
Ref[6],8,36.793988,1.840269
Ref[6],10,46.658539,1.478570
Ref[6],12,56.952073,1.698025
Ref[6],14,66.621570,1.379941
Ref[6],16,76.762190,1.562388
Ref[20],4,18.858764,0.882003
Ref[20],6,20.227186,0.654139
Ref[20],8,21.151381,0.857847
Ref[20],10,22.126861,0.807167
Ref[20],12,22.913302,0.746696
Ref[20],14,23.587541,0.722779
Ref[20],16,24.494205,0.817751
