scheme,x_value,mean,std
Ours,100,100.000000,0.000000
Ours,500,100.000000,0.000000
Ours,1000,100.000000,0.000000
Ours,2000,100.000000,0.000000
Ours,5000,99.839000,0.402566
Ours,10000,94.248000,1.333985
Ref[3],100,100.000000,0.000000
Ref[3],500,100.000000,0.000000
Ref[3],1000,99.940000,0.139284
Ref[3],2000,94.975000,2.013300
Ref[3],5000,71.949000,7.848288
Ref[3],10000,42.770000,11.229614
Ref[6],100,100.000000,0.000000
Ref[6],500,100.000000,0.000000
Ref[6],1000,99.185000,1.305862
Ref[6],2000,91.165000,4.571162
Ref[6],5000,63.898000,9.788422
Ref[6],10000,35.879500,8.420990
Ref[20],100,100.000000,0.000000
Ref[20],500,100.000000,0.000000
Ref[20],1000,99.920000,0.183303
Ref[20],2000,99.280000,0.403547
Ref[20],5000,97.735000,1.083640
Ref[20],10000,94.006000,1.567777
