scheme,x_value,mean,std
Ours,100,95.961538,0.384615
Ours,500,99.176587,0.070848
Ours,1000,99.546813,0.066629
Ours,2000,99.708084,0.057494
Ours,5000,99.836131,0.039262
Ours,10000,99.876549,0.035801
Ref[3],100,94.278846,1.073957
Ref[3],500,96.855159,0.582790
Ref[3],1000,97.385458,0.458465
Ref[3],2000,97.609780,0.335818
Ref[3],5000,97.738809,0.198866
Ref[3],10000,97.751399,0.141735
Ref[6],100,94.182692,1.196140
Ref[6],500,96.517857,0.748926
Ref[6],1000,97.011952,0.445432
Ref[6],2000,97.098303,0.396471
Ref[6],5000,97.353118,0.211724
Ref[6],10000,97.386545,0.164083
Ref[20],100,94.807692,0.881265
Ref[20],500,97.410714,0.450161
Ref[20],1000,97.913347,0.438106
Ref[20],2000,98.221058,0.254577
Ref[20],5000,98.283373,0.171549
Ref[20],10000,98.362655,0.113691
